targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
3C273.0,1582,NGC4527,30,"('187.27791666666667', '2.0525')","('188.53509', '2.65366')",0.024327963448858538,0.01567088880873341,187.03616663496922,175.11224114835605,330.5426430509268,x,2031.0,1736.0,154.0,13.6,x,31.3,10.7,70.0,70.0,5.6,369.96,.SXS4..,0.36,67.0,SAB(s)bc;HII_LINER,SAB(s)bc;HII_LINER,0.005791,0.1583,x,?,False,True,1582,"1482, 1720",375pm3,1.44E14 pm 1.09E12,44.3pm 2.7,Lya,"UGC07612 also nearby, double labels, center is 1601, originally yes - changed to no on 6/18/15; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,2156,NGC4536,7,"('187.27791666666667', '2.0525')","('188.61271', '2.18814')",0.0011349368690031418,0.0004459849118278236,179.96633842111865,161.04141082342767,348.66954715361874,x,2103.0,1808.0,-348.0,14.9,x,29.6,15.4,59.0,95.0,10.8,455.15,.SXT4..,-99.99,130.0,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.1583,x,?,False,False,2156,"2088, 2248",57pm2,1.09E13 pm 5.00E11,61.1pm 2.7,"Lya, d:INSTR","weak, center is 2168, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,2298,NGC4385,3,"('187.27791666666667', '2.0525')","('186.42835', '0.57262')",1.177698099447379e-09,8.708295035181233e-194,52.75811898352246,11.180339887498949,235.5613327822267,x,2433.0,2140.0,-158.0,7.91,x,5.0,2.3,63.0,100.0,70.2,131.27,.LBT+*.,-99.99,82.0,SB(rs)0+:;HII_Sbrst,SB(rs)0+:;HII_Sbrst,0.007138,0.1583,x,?,False,False,2298,"2248, 2344",31pm2,5.99E12 pm 3.51E11,36.4pm 1.9,"Lya, d:INSTR","weak, center is 2296, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,7862.0,x,0,"('187.27792', '2.05222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.1583,x,False,False,False,7862,"7810, 7912",42pm1,8.34E12 pm 3.04E11,30.9pm 2.9,"Lya, d:Lya",center is 7861 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
3C273.0,8832,3C273:[PWC2011]1611,3,"('187.27791666666667', '2.0525')","('187.373', '2.19736')",7.534275383347349e-05,1.653521864026621e-08,144.33861620616153,99.69139882657882,400.1184587909377,x,9396.0,9101.0,269.0,132.33,x,21.5,11.2,59.0,144.0,69.3,-99.99,x,-99.99,-99,x,x,0.030358,0.1583,x,?,False,False,8832,"8738, 8922",139pm2,2.96E13 pm 4.10E11,51.9pm 2.1,"Lya, d:Lya",center is 8830 : ONLY 1 GALAXY : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
3C273.0,9832,3C273:[PWC2011]0288,1,"('187.27791666666667', '2.0525')","('187.12675', '2.1085')",2.317087513200622e-06,2.387907653604193e-22,111.55282773524318,56.93673682254718,401.71371401898693,x,10144.0,9849.0,17.0,142.86,x,14.8,12.6,32.0,132.0,21.7,-99.99,x,-99.99,-99,x,x,0.032853,0.1583,x,?,False,False,9832,"9782, 9884",40pm2,7.77E12 pm 3.14E11,30.9pm 2.8,"Lya, d:Lya",center is 9833 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
3C351.0,3481,NGC6310,5,"('256.17333333333335', '60.74138888888889')","('256.98946', '60.99017')",0.010483528827324718,0.0257188345968723,217.68804487594534,243.55492193753753,459.8244485953917,x,3526.0,3419.0,-62.0,56.2,x,39.0,9.4,76.0,70.0,12.0,119.72,.S..3*/,-99.99,69.0,Sb:_sp,Sb:_sp,0.011405,0.3719,x,?,False,True,3481,"3372, 3520",145pm15,3.19E13 pm 3.76E12,49.0pm 3.2,Lya,"Lya labeled at 3481, I measure 3446. Lots of large galaxies around : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C351.0,3614,MRK0892,4,"('256.17333333333335', '60.74138888888889')","('256.56603', '60.7052')",0.022830259792878636,1.2690040019457588e-10,92.03657223404926,37.48236918872658,178.92637395931297,x,3725.0,3617.0,3.0,52.46,x,11.2,5.5,61.0,170.0,69.3,-99.99,x,-99.99,-99,Pair,Pair,0.012064,0.3719,x,?,True,False,3614,"3539, 3677",194pm13,4.93E13 pm 4.09E12,39.3pm 2.3,Lya,"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH"
3C351.0,3614,NGC6310,4,"('256.17333333333335', '60.74138888888889')","('256.98946', '60.99017')",0.004460586869120209,0.010942984731712584,217.68804487594534,243.55492193753753,459.8244485953917,x,3526.0,3419.0,-195.0,56.2,x,39.0,9.4,76.0,70.0,12.0,119.72,.S..3*/,-99.99,69.0,Sb:_sp,Sb:_sp,0.011405,?,False,True,"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH",,,,,,,,
3C351.0,3614,MRK0892,4,"('256.17333333333335', '60.74138888888889')","('256.56603', '60.7052')",0.022830259792878636,1.2690040019457588e-10,92.03657223404926,37.48236918872658,178.92637395931297,x,3725.0,3617.0,3.0,52.46,x,11.2,5.5,61.0,170.0,69.3,-99.99,x,-99.99,-99,Pair,Pair,0.012064,0.3719,x,?,True,False,3614,"3539, 3677",194pm13,4.93E13 pm 4.09E12,39.3pm 2.3,Lya,"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH"
3C351.0,3614,NGC6310,4,"('256.17333333333335', '60.74138888888889')","('256.98946', '60.99017')",0.004460586869120209,0.010942984731712584,217.68804487594534,243.55492193753753,459.8244485953917,x,3526.0,3419.0,-195.0,56.2,x,39.0,9.4,76.0,70.0,12.0,119.72,.S..3*/,-99.99,69.0,Sb:_sp,Sb:_sp,0.011405,?,False,True,"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH",,,,,,,,
3C351.0,5192.0,x,0,"('256.1725', '60.74194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.3719,x,False,False,False,5192,"5118, 5266",206pm11,5.12E13 pm 3.33E12,44.5pm 2.7,Lya,Lya labeled at 5192. SDSSJ170349.45+601806.1 at b=589kpc : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
3C351.0,7192,PGC059509,1,"('256.17333333333335', '60.74138888888889')","('255.85472', '60.66234')",0.00015207004443381627,4.071424602089737e-17,106.29591375318148,51.264724713978524,314.8633052086686,x,7328.0,7218.0,26.0,103.2,x,13.8,11.3,35.0,87.0,23.9,-99.99,x,-99.99,-99,x,x,0.024078,0.3719,x,?,False,False,7192,"7104, 7216",63pm11,1.29E13 pm 2.43E12,32.8pm 6.2,Lya,"Lya labeled at 7192, I measure 7160 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
3C66A,4303.0,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.444,x,False,False,False,4303,"4282, 4324",24pm4,4.93E12 pm 9.03E11,15.6pm 2.1,d:X,"weak, labeled d:X?, center is 4303 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
3C66A,5965,UGC01832,5,"('35.665', '43.035555555555554')","('35.62966', '43.0653')",1.7173655764036493,1.7067194082376151,191.95503981081367,185.27850657860992,55.88355050286846,x,5772.0,5913.0,-52.0,81.29,x,32.5,13.6,65.0,155.0,16.0,64.29,.S..1..,-99.99,163.0,Sa,Sa,0.019724,0.444,x,?,True,True,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,6076,UGC01832,6,"('35.665', '43.035555555555554')","('35.62966', '43.0653')",0.9456965576564952,0.9398340641226873,191.95503981081367,185.27850657860992,55.88355050286846,x,5772.0,5913.0,-163.0,81.29,x,32.5,13.6,65.0,155.0,16.0,64.29,.S..1..,1.0,163.0,Sa,Sa,0.019724,0.444,x,?,True,False,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,8180.0,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.444,x,False,False,False,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
CSO395,966,UGC07207,11,"('182.81083333333333', '36.96111111111111')","('183.07819', '37.01481')",0.9927843420019397,0.13362677539716408,115.67938547921628,61.615063093370274,83.3986594329305,x,1324.0,1051.0,85.0,21.7,x,15.6,7.8,60.0,112.0,36.1,137.45,.I..9..,-99.99,-99,IB(s)m_V,IB(s)m_V,0.003506,0.169,x,?,False,True,966,"886, 984",194pm14,5.70E13 pm 5.91E12,30.6pm 6.6,"f:Lya, working",center is 935 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
CSO395,1025,UGC07207,10,"('182.81083333333333', '36.96111111111111')","('183.07819', '37.01481')",1.1693910967733272,0.1573976893359056,115.67938547921628,61.615063093370274,83.3986594329305,x,1324.0,1051.0,26.0,21.7,x,15.6,7.8,60.0,112.0,36.1,137.45,.I..9..,-99.99,-99,IB(s)m_V,IB(s)m_V,0.003506,0.169,x,?,False,True,1025,"974, 1120",343pm15,1.21E14 pm 9.85E12,41.6pm 4.1,"f:Lya, working",center is 1047 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
H1101-232,1188,NGC3513,6,"('165.90708333333333', '-23.491944444444446')","('165.942', '-23.2455')",1.6892284134666862,1.426865139346814,147.10609559527887,103.89350797812153,60.29112701743224,x,1419.0,1194.0,6.0,13.9,x,22.1,19.2,30.0,120.0,67.4,169.1,.SBT5..,0.83,75.0,SB(s)c_HII,SB(s)c_HII,0.003983,0.186,x,?,False,False,1188,"1056, 1298",633pm20,2.39E14 pm 1.65E13,69.4pm 2.1,d:Lya,"center is 1177, two large galaxies very nearby: NGC3511 and NGC3513 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
H1101-232,3580,MCG-04-26-019,2,"('165.90708333333333', '-23.491944444444446')","('165.70883', '-23.59161')",0.3234273074518131,0.22494189759470945,174.8999376400109,151.34828707322723,181.97629541680266,x,3846.0,3623.0,43.0,50.3,x,28.4,11.9,65.0,35.0,26.3,90.81,PSXT2..,-99.99,30.0,(R:)SA:(s)ab_HII,(R:)SA:(s)ab_HII,0.012086,0.186,x,?,True,True,3580,"3466, 3710",573pm12,2.67E14 pm 1.50E13,57.3pm 1.9,d:Lya,"strong, center is 3588, blended with H2:1, OVI?; p"
H1101-232,5995.0,x,0,"('165.90708', '-23.49194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.186,x,False,False,False,5995,"5938, 6026",46pm9,9.22E12 pm 1.94E12,30.4pm 2.4,d:Lya,"center is 5982, blended with MgII : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,1625,MCG-03-07-044,1,"('40.13583333333334', '-18.864166666666666')","('39.54871', '-20.167')",3.437556351860061e-16,7.823904753510743e-166,71.70431245139727,21.784214468279547,424.43002811225637,x,1220.0,1474.0,-151.0,17.18,x,7.8,4.9,51.0,40.0,16.9,92.93,.LAT0?.,0.59,35.0,SA(rs)0^0^?,SA(rs)0^0^?,0.004917,0.631,x,?,False,False,1625,"1563, 1651",30pm6,5.83E12 pm 1.20E12,30.0pm 5.7,d:Lya,"d:Lya labeled at 1625, I measure 1607 : NO GALAXIES : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
HE0238-1904,2177.0,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,False,False,False,2177,"2102, 2204",31pm5,5.97E12 pm 1.03E12,35.9pm 2.4,d:Lya,"d:Lya labeled at 2177, I measure 2153. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,2517.0,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,False,False,False,2517,"2407, 2635",109pm8,2.16E13 pm 1.65E12,74.3pm 3.4,d:Lya,"d:Lya labeled at 2517, I measure 2521. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,2961.0,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,False,False,False,2961,"2862, 3052",65pm7,1.25E13 pm 1.37E12,66.6pm 3.3,d:Lya,"d:Lya labeled at 2961, I measure 2957. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,4631.0,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,False,False,False,4631,"4508, 4672",147pm5,3.20E13 pm 1.12E12,54.7pm 3.6,d:Lya,"d:Lya labeled at 4631, I measure 4590. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE1228+0131,1488,NGC4517,30,"('187.70833333333334', '1.256388888888889')","('188.18996', '0.11503')",0.014109700961595948,0.03146577083025519,207.56778682516213,219.60998155821605,209.7249045072657,x,1420.0,1128.0,-360.0,9.7,x,36.4,5.8,81.0,83.0,74.1,628.28,.SAS6*/,0.36,83.0,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.117,x,?,False,True,1488,"1440, 1550",144pm3,3.60E13 pm 7.74E11,29.0pm 3.5,"d:Lya,Lya","d:Lya & Lya labeled at 1988 - I measure 1495 center, near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1556,NGC4517A,25,"('187.70833333333334', '1.256388888888889')","('188.11732', '0.38967')",0.008272946980176903,0.0035530352795963165,184.55485695962207,170.10127277595544,403.1051346083094,x,1818.0,1525.0,-31.0,24.1,x,30.7,16.9,57.0,30.0,55.3,238.86,.SBT8*.,0.36,30.0,SB(rs)dm:_HII,SB(rs)dm:_HII,0.005087,0.117,x,?,False,False,1556,"1550, 1600",20pm2,3.86E12 pm 4.10E11,19.7pm 1.7,d:Lya,"d:Lya labeled at 1556 - I measure 1575, weak near NGC4517A, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1707,NGC4536,19,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.02295893413581706,0.009564201157991987,179.96633842111865,161.04141082342767,337.59992494886507,x,2103.0,1808.0,101.0,14.9,x,29.6,15.4,59.0,95.0,50.9,455.15,.SXT4..,0.36,130.0,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.117,x,?,False,False,1707,"1600, 1814",598pm3,3.10E14 pm 3.61E12,56.2pm 1.9,"d:Lya, Lya","d:Lya near to Lya:1854(1575), near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1854,NGC4536,20,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.028101758310732576,0.011706591768902014,179.96633842111865,161.04141082342767,337.59992494886507,x,2103.0,1808.0,-46.0,14.9,x,29.6,15.4,59.0,95.0,50.9,455.15,.SXT4..,0.1,130.0,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.117,x,?,False,False,1854,"1814, 1906",68pm3,1.39E13 pm 5.91E11,33.3pm 3.2,d:Lya,"d:Lya labeled at 1854 - I measure 1860, near to with Lya:1709, near both NGC4517A and NGC4536, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,2311,UGC07625,6,"('187.70833333333334', '1.256388888888889')","('187.38654', '0.83964')",4.849381556513507e-06,2.3913966730797757e-25,102.54563860403421,47.4140380056371,356.5350434168371,x,2527.0,2234.0,-77.0,38.8,x,13.1,1.3,84.0,73.0,35.3,54.72,.S..9?/,-99.99,73.0,Sd(f),Sd(f),0.007452,0.117,x,?,False,False,2311,"2222, 2400",343pm3,1.27E14 pm 1.44E12,38.9pm 2.5,"d:Lya, Lya","near UGC07625 and IC3474, 3C273.0, center is 2311; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,5000.0,x,0,"('187.70833', '1.25583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.117,x,False,False,False,5000,"4942, 5058",20pm3,3.81E12 pm 5.19E11,41.4pm 2.7,d:Lya,"d:Lya labeled at 4991, I measure 5000, very weak : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE1228+0131,7551.0,x,0,"('187.70833', '1.25583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.117,x,False,False,False,7551,"7498, 7622",63pm3,1.28E13 pm 5.77E11,36.1pm 2.6,d:Lya,"d:Lya labeled at 7551, I measure 7560 : VIRIAL AND CUSTOM INCLUDE MISMATCH : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE1228+0131,9239,2PIGGNGPGALB+3.26383+0.02704,1,"('187.70833333333334', '1.256388888888889')","('187.64345', '1.27345')",0.17822016097260907,0.009911037802369148,126.70384711653799,75.0982822706352,158.49307374498053,x,9613.0,9319.0,80.0,135.39,x,17.8,15.7,28.0,45.0,59.7,-99.99,x,-99.99,-99,x,x,0.031084,0.117,x,?,True,False,9239,"9140, 9308",249pm3,6.04E13 pm 7.84E11,53.1pm 2.2,"Lya, d:Lya","Lya labeled at 9239, d:Lya at 9235 _ I measure 9224, far away, but the only galaxy in field : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
