AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,W,Na,b,identified,comment
RBS1768,9360,RFGC3781,1,"('324.707083333', '-38.4777777778')","(324.43825, -38.49256)",0.012841327,0.056112215,252.6639606,336.7193253,464.1724143,x,8951.1,9162,-198,126.0713339,x,48.4,7.7,80.8,x,x,0,x,x,x,Sb,Sb,0.030561,0.183,SI,1,1,1,9360,"9288, 9426",364pm4,364,1.38E14 pm 4.07E12,43.6pm 1.6,Lya,center is 9357 : ONLY 1 GALAXY
RBS1768,9434,RFGC3781,1,"('324.707083333', '-38.4777777778')","(324.43825, -38.49256)",0.005382585,0.023520057,252.6639606,336.7193253,464.1724143,x,8951.1,9162,-272,126.0713339,x,48.4,7.7,80.8,x,x,0,x,x,x,Sb,Sb,0.030561,0.183,SI,1,0,1,9434,"9420, 9502",160pm5,160,4.70E13 pm 1.90E12,25.4pm 2.6,Lya,center is 9461 : ONLY 1 GALAXY
MRK290,3105,NGC5987,2,"('233.967916667', '57.9025')","(234.98904, 58.07953)",0.081843848,0.772750688,322.0594318,570.666866,486.0128811,x,3170,3010,-95,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,1,1,1,3105,"2966, 3170",511pm5,511,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,3207,NGC5987,3,"('233.967916667', '57.9025')","(234.98904, 58.07953)",0.038869627,0.366998027,322.0594318,570.666866,486.0128811,x,3170,3010,-197,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,1,1,1,3207,"3166, 3308",319pm4,319,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
SDSSJ135726.27+043541.4,1124,NGC5364,20,"('209.359166667', '4.59472222222')","(209.05, 5.01447)",0.667429541,0.740509024,210.7048967,226.8895061,183.1125727,x,1516.4,1241,117,20.15,x,37.2,21.2,55.2,48,84.3,NGC5364,.SAT4P.,49.8,30,SA(rs)bc pec   HII,SA(rs)bc pec   HII,0.00414,1.2345,SI,1,1,1,1124,"1095, 1161",85pm11,85,1.95E13 pm 2.93E12,23.0pm 2.3,Lya,center is 1128
SDSSJ135726.27+043541.4,1296,NGC5364,18,"('209.359166667', '4.59472222222')","(209.05, 5.01447)",0.871341369,0.96674796,210.7048967,226.8895061,183.1125727,x,1516.4,1241,-55,20.15,x,37.2,21.2,55.2,48,84.3,NGC5364,.SAT4P.,49.8,30,SA(rs)bc pec   HII,SA(rs)bc pec   HII,0.00414,1.2345,SI,1,1,1,1296,"1264, 1324",98pm9,98,2.37E13 pm 2.75E12,21.1pm 1.4,Lya,center is 1294
RX_J1236.0+2641,1012,NGC4565,18,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",0.452183811,0.540640262,291.6889111,460.1181761,159.4217198,x,1522,1230,218,12.894,x,59.6,6.9,83.3,x,39,NGC4565,.SAS3$/,82.2,136,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103,0.2092,SP,1,0,1,1012,"926, 1094",337pm32,337,9.62E13 pm 1.35E13,52.2pm 2.7,Lya,center is 1010 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,1188,NGC4565,16,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",1.419540859,1.697232238,291.6889111,460.1181761,159.4217198,x,1522,1230,42,12.894,x,59.6,6.9,83.3,x,39,NGC4565,.SAS3$/,82.2,136,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103,0.2092,SP,1,1,1,1188,"1094, 1222",288pm24,288,9.02E13 pm 1.25E13,37.8pm 3.4,Lya,center is 1158
SDSSJ112224.10+031802.0,1049,NGC3640,8,"('170.600416667', '3.30055555556')","(170.27854, 3.23483)",0.397718827,0.342979333,179.9663384,161.0414108,138.825941,x,1534.7,1251,202,24.25,x,29.6,23.7,36.9,100,21.6,NGC3640,.E.3...,37.4,100,E3,E3,0.004173,0.4753,SI,1,0,1,1049,"977, 1111",288pm30,288,8.30E13 pm 1.38E13,40.9pm 2.5,Lya,center is 1044 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ112224.10+031802.0,1264,NGC3640,14,"('170.600416667', '3.30055555556')","(170.27854, 3.23483)",1.098411465,0.947233085,179.9663384,161.0414108,138.825941,x,1534.7,1251,-13,24.25,x,29.6,23.7,36.9,100,21.6,NGC3640,.E.3...,37.4,100,E3,E3,0.004173,0.4753,SI,1,1,1,1264,"1180, 1360",424pm27,424,1.35E14 pm 1.54E13,54.7pm 2.4,Lya,center is 1270
RX_J1117.6+5301,1131,NGC3631,8,"('169.41875', '53.0305555556')","(170.26198, 53.16957)",0.322842763,0.277746529,187.4482789,175.9521071,197.9301941,x,1377.8,1156,25,21.6,x,31.4,30.2,16.3,x,x,NGC3631,.SAS5..,17.3,-99,SA(s)c,SA(s)c,0.003856,0.1587,SI,1,1,1,1131,"1050, 1216",356pm20,356,1.19E14 pm 1.14E13,44.6pm 2.4,Lya,center is 1133
RX_J1117.6+5301,1259,NGC3631,7,"('169.41875', '53.0305555556')","(170.26198, 53.16957)",0.251530789,0.216395755,187.4482789,175.9521071,197.9301941,x,1377.8,1156,-103,21.6,x,31.4,30.2,16.3,x,x,NGC3631,.SAS5..,17.3,-99,SA(s)c,SA(s)c,0.003856,0.1587,SI,1,1,1,1259,"1218, 1298",57pm17,57,1.18E13 pm 3.87E12,25.4pm 4.6,Lya,center is 1258
2dFGRS_S393Z082,1239,NGC1097,7,"('41.2533333333', '-30.1230555556')","(41.57937, -30.27489)",1.648114009,1.80189773,273.1866721,399.0239191,111.9450754,x,1029.8,1271,32,20.038,x,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,1,1,1,1239,"1145, 1339",570pm21,570,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
HE0241-3043,1221,NGC1097,7,"('40.9070833333', '-30.5133333333')","(41.57937, -30.27489)",0.986455296,1.389095532,273.1866721,399.0239191,219.2796518,x,1029.8,1271,50,20.038,x,54.2,36.7,47.4,x,62.4,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.6693,SP,1,1,1,1221,"1175, 1243",83pm12,83,1.90E13 pm 3.06E12,23.6pm 2.5,Lya,center is 1209
HE0241-3043,1310,NGC1097,7,"('40.9070833333', '-30.5133333333')","(41.57937, -30.27489)",1.01089667,1.423513112,273.1866721,399.0239191,219.2796518,x,1029.8,1271,-39,20.038,x,54.2,36.7,47.4,x,62.4,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.6693,SP,1,1,1,1310,"1254, 1376",184pm15,184,5.07E13 pm 4.98E12,32.7pm 3.1,Lya,center is 1315
PG0832+251,6980,KUG0833+252,1,"('128.899583333', '24.9947222222')","(129.03088, 25.11269)",0.041038958,0.007323711,164.562778,132.5745074,293.7726057,x,7133.8,6964,-16,100.4755207,x,26,13,60,170,55.2,0,x,x,x,Spiral,Spiral,0.023229,0.331,SI,1,1,0,6980,"6896, 7058",133pm14,133,2.78E13 pm 3.14E12,58.7pm 2.0,Lya,center is 6977 : ONLY 1 GALAXY
PG0832+251,7201,KUG0833+252,1,"('128.899583333', '24.9947222222')","(129.03088, 25.11269)",0.010142117,0.001809937,164.562778,132.5745074,293.7726057,x,7133.8,6964,-237,100.4755207,x,26,13,60,170,55.2,0,x,x,x,Spiral,Spiral,0.023229,0.331,SI,1,1,0,7201,"7160, 7254",48pm10,48,9.58E12 pm 2.19E12,32.1pm 3.1,Lya,center is 7207 : ONLY 1 GALAXY
FBQSJ1431+2442,6542,IRASF14291+2443,2,"('217.8575', '24.7055555556')","(217.84593, 24.51172)",0.064161299,0.074428765,202.821709,208.8401494,327.8649196,x,6870.7,6615,73,96.77107615,x,35.2,9.9,73.7,x,x,0,x,x,x,2MASS Extended Ver.2,2MASS Extended Ver.2,0.022065,0.4069,SP,1,1,1,6542,"6517, 6573",56pm15,56,1.19E13 pm 3.71E12,21.3pm 4.1,Lya,center is 6545
FBQSJ1431+2442,6623,IRASF14291+2443,2,"('217.8575', '24.7055555556')","(217.84593, 24.51172)",0.073187542,0.08489944,202.821709,208.8401494,327.8649196,x,6870.7,6615,-8,96.77107615,x,35.2,9.9,73.7,x,x,0,x,x,x,2MASS Extended Ver.2,2MASS Extended Ver.2,0.022065,0.4069,SP,1,1,1,6623,"6570, 6698",272pm20,272,7.89E13 pm 8.95E12,41.7pm 2.6,Lya,center is 6634
RX_J1544.5+2827,9642,CGCG166-047,2,"('236.127083333', '28.4655555556')","(235.98894, 28.52408)",0.031360388,0.010080137,175.324639,152.1483651,326.2079565,x,9845.9,9646,4,138.6747465,x,28.5,21.1,42.3,55,60.7,0,x,x,x,SBa            Sy2,SBa            Sy2,0.032176,0.2314,SP,1,1,1,9642,"9577, 9695",183pm14,183,4.81E13 pm 4.50E12,33.8pm 2.4,Lya,center is 9636
RX_J1544.5+2827,9759,CGCG166-047,2,"('236.127083333', '28.4655555556')","(235.98894, 28.52408)",0.022799089,0.007328287,175.324639,152.1483651,326.2079565,x,9845.9,9646,-113,138.6747465,x,28.5,21.1,42.3,55,60.7,0,x,x,x,SBa            Sy2,SBa            Sy2,0.032176,0.2314,SP,1,1,0,9759,"9702, 9794",169pm12,169,4.32E13 pm 3.99E12,32.4pm 2.0,Lya,center is 9748 : VIRIAL AND CUSTOM INCLUDE MISMATCH
