AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
SBS1537+577,SDSSJ153802.75+573018.3,x,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.007580499,86.86757243,90.50600729,x,3687.3,389.7,51.93368351,x,10.3,1.9,79.6,24,33.3,33.3,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,?,yes,yes,4077,"4032, 4148",72pm25,1.47E13 pm 5.48E12,45.0pm 3.8,Lya,center is 4090
SBS1537+577,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",,,90.5,x,3687.3,,x,,10.4,1.6,81.3,24,139,30,x,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,?,no,no,8466,"8413, 8501",48pm21,9.79E12 pm 4.38E12,31.1pm 7.9,Lya,center is 8457
SBS1537+577,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",,,90.5,x,3687.3,,x,,10.4,1.6,81.3,24,139,30,x,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,?,no,no,9008,"8983, 9033",54pm14,1.23E13 pm 3.69E12,,no,"Not marked, but I see Lya here"
SBS1537+577,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",,,90.5,x,3687.3,,x,,10.4,1.6,81.3,24,139,30,x,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,?,no,no,9190,"9160, 9224",67pm16,1.47E13 pm 4.07E12,22.4pm 1.9,Lya,center is 9192
SBS1537+577,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",,,90.5,x,3687.3,,x,,10.4,1.6,81.3,24,139,30,x,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,?,no,no,9824,"9795, 9845",40pm15,8.29E12 pm 3.39E12,18.6pm 2.9,Lya,center is 9820
3C66A,UGC01841NOTES01,,"('35.665', '43.03556')","('35.804', '42.98778')",,,178.1751629,x,6453.75,,90.89794148,,68.13,21.8,71,140,-31.02826057,,,.E.....,,-99,E,E,0.022,0.444,SP,,,,,,,,,yes,"done, original result"
3C66A,x,0,"('35.665', '43.03556')","('x','x')",,,x,x,,,,,,,,,,,,,,,,,,0.444,SP,no,no,no,4303,"4282, 4324",24pm4,4.93E12 pm 9.03E11,15.6pm 2.1,d:X,"weak, labeled d:X?, center is 4303"
3C66A,x,3,"('35.665', '43.03556')","('x','x')",,,x,x,,,,,,,,,,,,,,,,,,0.444,SP,no,no,no,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p"
3C66A,UGC01841,5,"('35.665', '43.03556')","(35.79755, 42.99205)",0.939030774,421.312625,162.7451694,x,6231.8,-155.8,87.77125098,x,76.6,76.6,0,x,x,x,UGC1841,.E.....,0,-99,E              LERG,E              LERG,0.021258,0.444,SP,no,yes,yes,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p"
3C66A,x,0,"('35.665', '43.03556')","('x','x')",,,x,x,,,,,,,,,,,,,,,,,,0.444,SP,no,no,no,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc"
MRC2251-178,MCG-03-58-009,,"('343.52458', '-17.58194')","('343.42021', '-17.47889')",,,320.0509932,x,8753.81,,128,29,67.89,35.3,59,175,-40.3492324,,,.S?....,,27,Sc,Sc,0.030121,0.0661,SP,,,,,,,,,yes,"done, original result"
MRC2251-178,MCG-03-58-014,1,"('343.52458', '-17.58194')","(344.36012, -17.88558)",4.08E-20,63.89771317,417.3445625,x,1993.2,281.8,x,29,6.6,3.7,55.9,105,145,40,x,x,x,x,Sa,Sa,0.007575,0.0661,SP,yes,yes,yes,2275,"2205, 2345",88pm6,1.81E13 pm 1.37E12,44.6pm 2.6,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283 _ I measure 2275"
MRC2251-178,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000895014,121.7484398,319.5117248,x,2990.5,72.5,x,29,16.5,6.5,66.8,40,156.3,28,x,x,x,x,IB(s)m,IB(m),0.010898,0.0661,SP,yes,yes,yes,3063,"3000, 3126",66pm5,1.31E13 pm 1.01E12,45.4pm 4.0,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055 _ I measure 3063"
MRC2251-178,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000267318,121.7484398,319.5117248,x,2990.5,231.5,x,29,16.5,6.5,66.8,40,156.3,28,x,x,x,x,IB(s)m,IB(m),0.010898,0.0661,SP,yes,yes,yes,3222,"3124, 3320",326pm5,9.14E13 pm 1.73E12,51.4pm 2.0,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218 _ I measure 3222"
MRC2251-178,x,0,"('343.52458', '-17.58194')","('x','x')",,,x,x,,,,29,,,,,,,,,,,,,,0.0661,SP,no,no,no,4360,"4325, 4395",31pm4,6.13E12 pm 7.83E11,27.5pm 2.2,Lya,"Lya labeled at 4323, d:INSTR labeled at 4362.5 _ I measure 4360"
MRC2251-178,x,0,"('343.52458', '-17.58194')","('x','x')",,,x,x,,,,29,,,,,,,,,,,,,,0.0661,SP,no,no,no,4705,"4670, 4740",38pm4,7.57E12 pm 9.48E11,25.6pm 2.1,d:Lya,d:Lya labeled at 4710
MRC2251-178,MCG-03-58-009,1,"('343.52458', '-17.58194')","('343.42021', '-17.47889')",,,317.11,FALSE,8753.81,,126.82,29,67.89,35.3,58,175,-38.99430956,46,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,yes,yes,yes,9031,"8981, 9081",31pm9,6.03E12 pm 1.83E12,33.4pm 2.2,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040 _ I measure 9031"
MRC2251-178,MCG-03-58-009,1,"('343.52458', '-17.58194')","('343.42021', '-17.47889')",,,317.11,FALSE,8753.81,,126.82,29,67.89,35.3,58,175,-38.99430956,46,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,yes,yes,yes,9032,"8979, 9085",48pm4,9.37E12 pm 7.32E11,36.7pm 2.0,"d:Lya, Lya","d:Lya labeled at 9040, Lya at 9051 - I measure 9032; p"
MRC2251-178,x,0,"('343.52458', '-17.58194')","('x','x')",,,x,x,x,,x,x,x,x,x,x,x,,,,,,,,,0.0661,SP,no,no,no,9733,"9666, 9800",156pm10,3.66E13 pm 2.60E12,37.0pm 2.4,"Lya, d:Lya","Lya labeled at 9733, d:Lya at 9745"
SBS1435+509,NGC5720,,"('219.35875', '50.76556')","('219.63871', '50.81521')",,,361.3533008,,7997.23,,112.6370853,,61.11,51.33,33,85,174.9426356,,,x,,x,Sb,Sb,0.025985,0.7833,SP,,,,,,,,,no,"kind of messy, not identified yet"
SBS1503+570,NGC5907,20,"('226.2315', '56.8223')","('228.97404', '56.32877')",,,452.0909184,,842.99,,16.3,,60.55,6.64,84,x,-54.79809022,,,.SAS5*/,,155,SA(s)c: sp     HII:,SA(s)c,0.002225,0.3589,SP,no,no,yes,706,"656, 756",265pm20,8.91E13 pm 1.26E13,34.3pm 2.1,Lya,"Lya marked 705, I measure 706 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879"
SBS1503+570,SDSSJ150606.34+563934.6,0,"('226.2315', '56.8223')","('228.97404', '56.32877')",,,518.0046514,,9185.659903,,16.3,,17.72,8.68,x,x,x,,,x,,x,x,,x,0.3589,SP,no,no,no,8915,"8790, 9040",582pm17,2.24E14 pm 1.34E13,70.3pm 2.7,Lya,"Lya marked 8920, I measure 8915; two galaxies with 500 < v < 800 km/s = SDSSJ150606.34+563934.6, SDSSJ150659.06+564203.2"
SDSSJ150450.20+564921.0,NGC5907,,"('226.20917', '56.8225')","('228.97404', '56.32877')",,,455.4341451,,842.99,,16.3,,60.55,6.64,84,x,-54.87475742,,,.SAS5*/,,155,SA(s)c: sp     HII:,,0.002225,1.583,RT,,,,,,,,,no,needs to be added to reduce
SDSSJ154121.50+281706.0,IC4572,,"('235.33958', '28.285')","('235.4758', '28.13401')",,,481.7990215,,10160.86,,143.1107497,,60.08,24.03,66,60,77.9489239,,,x,,x,x,,0.03322,0.376,RT,,,,,,,,,working,looks promising
SDSSJ093706.90+170021.0,NGC2928,,"('144.27875', '17.00583')","('144.292', '16.97721')",,,65.82188452,,8554.81,,120.490311,,59.93,23.97,66,40,115.1631175,,,x,,x,x,,0.027784,0.506,NP,,,,,,,,,no,not available
RX_J1236.0+2641,NGC4565,,"('189.01708', '26.69333')","('189.08658', '25.98767')",,,159.4210317,,1522.03,,12.894,,59.64,6.94,83,x,38.37615441,,,.SAS3$/,,136,SA(s)b? sp Sy3 Sy1.9,,0.004103,0.209,DG,,,,,,,,,no,original name = SDSSJ123604.10+264136.0
TON576,NGC3609,,"('169.47625', '26.57111')","('169.4609', '26.6258')",,,115.8993205,,8361.62,,117.7692803,,58.47,42.1,44,50,114.3248794,,,.S..2..,,50,Sab,,0.026959,0.422,DG,,,,,,,,,working,original name = RXS_J1117.9+2634
MRK1486,UGC08981,,"('209.96208', '57.43944')","('210.80227', '54.34895')",,,377.8363326,,451.22,,6.925,,58.02,54.19,21,x,x,,,.SXT6..,,-99,SAB(rs)cd      HII,,0.000804,0.0338,RT,,,,,,,,,no,rather messy
SBS1337+542,UGC08981,,"('204.80167', '53.92444')","('210.80227', '54.34895')",,,427.8476851,,451.22,,6.925,,58.02,54.19,21,x,x,,,.SXT6..,,-99,SAB(rs)cd      HII,,0.000804,0.295,PL,,,,,,,,,no,not available
SDSSJ140854.20+565743.0,UGC08981,,"('212.22583', '56.96194')","('210.80227', '54.34895')",,,330.3786824,,451.22,,6.925,,58.02,54.19,21,x,x,,,.SXT6..,,-99,SAB(rs)cd      HII,,0.000804,0.336,PL,,,,,,,,,no,not available
SBS1342+560,UGC08981,,"('206.19917', '55.78222')","('210.80227', '54.34895')",,,362.5355922,,451.22,,6.925,,58.02,54.19,21,x,x,,,.SXT6..,,-99,SAB(rs)cd      HII,,0.000804,0.941,PL,,,,,,,,,no,not available
SDSSJ140732.20+550725.0,UGC08981,,"('211.88417', '55.12361')","('210.80227', '54.34895')",,,120.2706676,,451.22,,6.925,,58.02,54.19,21,x,x,,,.SXT6..,,-99,SAB(rs)cd      HII,,0.000804,1.027,RT,,,,,,,,,no,looks promising
PHL1444,MCG-01-07-040,,"('40.71208', '-7.98722')","('40.8081', '-8.12504')",,,375.0572103,,9112.61,,128.3466432,,56.25,42.75,41,65,80.14681829,,,x,,x,x,,0.031228,0.378,DG,,,,,,,,,no,original name = SDSSJ024250.85-075914.2
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,1434,"1410, 1488",103pm25,2.37E13 pm 6.83E12,27.5pm 3.5,done,center is 1449
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,2460,"2400, 2514",133pm23,3.03E13 pm 6.05E12,40.8pm 2.2,done,center is 2457
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,2582,"2520, 2660",294pm21,9.38E13 pm 1.08E13,39.8pm 3.2,done,center is 2582
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,2818,"2783, 2853",40pm19,8.19E12 pm 4.07E12,23.7pm 6.4,done,"Labeled at 2817, middle is 2818"
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,4158,"4080, 4236",189pm23,4.30E13 pm 6.24E12,56.5pm 2.8,no,"Not labeled, looks like Lya to me"
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,4337,"4272, 4386",187pm20,4.69E13 pm 6.39E12,39.2pm 1.6,done,center is 4329
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,4834,"4769, 4895",158pm22,3.73E13 pm 6.01E12,41.7pm 3.9,done,center is 4832
SDSSJ080838.80+051440.0,UGC04239,2,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,15,,x,,x,S,,0.02923,0.361,RT,yes,yes,yes,8726,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,yes,8913,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,yes,9746,"9706, 9770",50pm15,1.04E13 pm 3.48E12,20.7pm 2.3,done,center is 9738
SDSSJ080838.80+051440.0,UGC04239,0,"('122.16167', '5.24444')","('121.99208', '5.20667')",,,378.3226481,,8893.11,,125.2551175,,55.81,40.18,44,115,142.4403082,,,x,,x,S,,0.02923,0.361,RT,no,no,no,10181,"10048, 10344",780pm24,3.02E14 pm 1.97E13,80.6pm 2.2,done,center is 10196
HS1231+4814,UGC07708,,"('188.39583', '47.96667')","('188.29614', '48.0496')",,,246.0241476,,9404.33,,132.4553197,,55.8,15.62,74,175,-45.24133769,,,x,,x,Sb,,0.030551,0.38178,RT,,,,,,,,,no,needs to be added to reduce
MRK61,NGC4922NED01,,"('195.42292', '29.38111')","('195.35215', '29.30837')",,,174.3876101,,7437.99,,104.7603522,,55.67,25.61,63,25,199.208647,,,.I.0.P.,,-99,Sb             Sy2,,0.02386,0.0574,DG,,,,,,,,,no,messy but promising line
US136,NGC4895,,"('195.25333', '28.32889')","('195.07471', '28.20231')",,,435.7467577,,8778.72,,123.6438957,,55.27,24.32,64,155,79.6717364,,,.LA..P/,,153,SA0 pec sp,,0.028326,1.36,PL,,,,,,,,,no,"HRS only now, COS public 07/17/15"
SDSSJ091235.40+295725.0,NGC2783,,"('138.1475', '29.95694')","('138.41444', '29.99297')",,,399.6376433,,6946.8,,97.84221578,,55.17,37.51,47,170,92.31173977,,,.E.....,,168,S0^+^:        dLINER,,0.022499,0.305,DG,,,,,,,,,no,needs to be downloaded
CSO1124,CGCG213-021,,"('165.80417', '41.69833')","('165.79592', '41.70526')",,,21.60556599,,9479.48,,133.5138186,,54.7,38.29,46,160,-29.96682497,,,x,,x,E/S0,,0.030791,0.402,DG,,,,,,,,,no,"needs to be downloaded, original name  = SDSSJ110313.00+414154.0"
2dFGRSS394Z150,NGC1097,,"('41.55542', '-30.495')","('41.57937', '-30.27489')",,,77.31723094,,1029.79,,20.038,,54.21,36.72,47,x,56.20574278,,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,0.1312,RT,,,,,,,,,no,"actual name = 2dFGRS TGS394Z150, reduce wants 2dFGRS_S394Z150, nearly 0 spectrum"
2dFGRS_S393Z082,NGC1097,4,"('41.25333', '-30.12306')","('41.57937', '-30.27489')",,,111.9452231,,1029.79,,20.038,,54.21,36.72,47,x,-15.0149054,60,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,0.34,NP,yes,yes,yes,1242,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"very likely Lya here, but not fully identified yet, original name = TGS393Z082"
2dFGRS_S393Z082,NGC1097,4,"('41.25333', '-30.12306')","('41.57937', '-30.27489')",,,111.9452231,,1029.79,,20.038,,54.21,36.72,47,x,-15.0149054,60,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,0.34,NP,?,?,no,2997,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999
2dFGRS_S393Z082,NGC1097,4,"('41.25333', '-30.12306')","('41.57937', '-30.27489')",,,111.9452231,,1029.79,,20.038,,54.21,36.72,47,x,-15.0149054,60,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,0.34,NP,?,?,no,4037,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029
MS0244.6-3020,NGC1097,,"('41.70792', '-30.12833')","('41.57937', '-30.27489')",,,64.31895771,,1029.79,,20.038,,54.21,36.72,47,x,91.23547218,,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,0.528,NP,,,,,,,,,no,needs to be added to reduce
HE0241-3043,NGC1097,,"('40.90708', '-30.51333')","('41.57937', '-30.27489')",,,219.2801417,,1029.79,,20.038,,54.21,36.72,47,x,120.4598451,,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,0.67,NP,,,,,,,,,no,needs to be added to reduce
QSO0246-3050,NGC1097,,"('42.09208', '-30.63528')","('41.57937', '-30.27489')",,,199.4426629,,1029.79,,20.038,,54.21,36.72,47,x,-4.87795075,,,.SBS3..,,130,(R'_1:)SB(r'l)bSy1,,0.00424,1.093,NP,,,,,,,,,no,needs to be downloaded
SDSSJ130524.30+035731.0,UGC08186,,"('196.35125', '3.95861')","('196.49433', '3.95644')",,,248.6567219,,7298.15,,99.8,,52.84,12.68,76,105,-14.13076437,,,x,,x,Scd(f),,0.023369,0.545,RT,,,,,,,,,no,needs to be added to reduce
PG1211+143,NGC4216,,"('183.57375', '14.05361')","('183.97683', '13.14939')",,,294.2787706,,430.66,,17.11,,52.72,9.49,80,20,135.9795139,,,.SXS3*.,,19,SAB(s)b:   HII/LINER,,0.000437,0.0804,SP,,,,,,,,,yes,"done, original result"
PG1211+143,x,8,"('183.57375', '14.05361')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.0804,SP,no,no,no,2116,"2067, 2165",95pm7,2.04E13 pm 1.81E12,34.6pm 1.7,Lya,"STIS only, center looks possibly <2116 to me; p"
PG1211+143,x,0,"('183.57375', '14.05361')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.0804,SP,no,no,no,4920,"4870, 4970",157pm7,3.81E13 pm 2.01E12,33.8pm 2.5,Lya,"Lya labeled at 4933 _ I measure 4920, blended with Lya:5033"
PG1211+143,x,0,"('183.57375', '14.05361')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.0804,SP,no,no,no,5033,"4965, 5101",240pm7,6.18E13 pm 2.47E12,44.4pm 2.6,Lya,"Lya labeled at 5011 _ I measure 5033, blended with Lya:4920"
PG1211+143,x,2,"('183.57375', '14.05361')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.0804,SP,no,no,no,6606,"6555, 6657",89pm6,1.97E13 pm 1.54E12,29.3pm 2.9,Lya,
PG1211+143,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",,,351.2,,6929.5,,x,x,16,3.2,78.4,40,125.4,55,x,x,x,x,x,,0.022114,0.0804,SP,yes,yes,yes,7000,"6945, 7055",125pm6,2.88E13 pm 1.64E12,32.2pm 2.7,Lya,Lya labeled at 6989 _ I measure 7000
PG1211+143,SDSSJ121352.97+141312.4,1,"('183.57375', '14.05361')","(183.47074, 14.22013)",,,368.1,,7710.5,,x,x,11.3,6.2,57,20,191.7,8,x,x,x,x,x,,0.024722,0.0804,SP,yes,yes,yes,7735,"7626, 7844",158pm10,3.31E13 pm 2.16E12,65.6pm 3.7,Lya,
PG1309+355,NGC5033,,"('198.07375', '35.25556')","('198.36444', '36.59394')",,,465.8620131,,1145,,19.642,,52.58,23.66,63,175,17.25240362,,,.SAS5..,,170,SA(s)c         Sy1.9,,0.002919,0.184,DG,,,,,,,,,no,messy but promising line
SDSSJ112632.90+120437.0,NGC3628,,"('171.63708', '12.07694')","('170.07071', '13.58968')",,,423.9446603,,1130.98,,11.3,,52.45,12.59,76,104,30.01022553,,,.S..3P/,,104,SAb pec sp;HII LINER,,0.002812,0.977,PL,,,,,,,,,no,not available
TON694,NGC4944,,"('195.80417', '28.18556')","('195.95812', '28.18573')",,,223.4111352,,7275.14,,94.333,,52.37,15.71,73,85,184.9369223,,,.S..0$/,,89,SA0,,0.023313,1.302,PL,,,,,,,,,no,"public 01/16/15, original name = CSO799"
TON488,UGC05464,3,"('152.50292', '30.05583')","('152.46429', '30.32078')",,,200.709,,1245.11,,x,,7.42,4.6,52,135,x,8,,x,,x,Sm,,0.003344,0.2564,SP,?,?,?,1250,"1237, 1297",68pm9,1.48E13 pm 2.20E12,24.0pm 2.0,d:Lya,"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
TON488,UGC05478,3,"('152.50292', '30.05583')","('152.46429', '30.32078')",,,58.04,,1620.33,,x,,11.23,11.01,12,39,x,10,,x,,x,Im,,0.004597,0.2564,SP,yes,yes,yes,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
TON488,UGC05481,0,"('152.50292', '30.05583')","('152.46429', '30.32078')",,,429.8040292,,6547.35,,92.21623544,,52.31,13.6,75,90,81.70602817,,,.S..1*.,,91,Sa:,,0.021031,0.2564,SP,?,?,?,4101,"4050, 4152",55pm10,1.10E13 pm 2.07E12,43.7pm 2.7,d:Lya,d:Lya marked at 4101 is extremely weak/questionable
TON488,UGC05481,0,"('152.50292', '30.05583')","('152.46429', '30.32078')",,,429.8040292,,6547.35,,92.21623544,,52.31,13.6,75,90,81.70602817,,,.S..1*.,,91,Sa:,,0.021031,0.2564,SP,?,?,?,4786,"4746, 4836",44pm9,8.77E12 pm 1.82E12,31.1pm 3.1,done,center is 4791
TON488,UGC05481,0,"('152.50292', '30.05583')","('152.46429', '30.32078')",,,429.8040292,,6547.35,,92.21623544,,52.31,13.6,75,90,81.70602817,,,.S..1*.,,91,Sa:,,0.021031,0.2564,SP,?,?,?,5737,"5702, 5758",34pm7,6.89E12 pm 1.45E12,16.0pm 3.5,done,center is 5730
