Target,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,source,comment
MS1228.6+1219,866,NGC4429,110,"('187.80458333333334', '12.051944444444445')","('186.86045', '11.10771')",0.007643085,0.007084573,196.0112133,193.8952681,364.4888437,x,1404,1104,238,15.8,x,33.5,11.4,70,97,52.6,337.4,.LAR+..,-99.99,99,SA(r)0+;LINER_HII,SA(r)0+;LINER_HII,0.003683,,x,3,FALSE,FALSE,866,"825, 901",94pm18,2.23E13 pm 5.05E12,23.0pm 4.0,Lya,pilot,center is 863 : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,888,UMaDwarf,1,"('343.52458333333334', '-17.581944444444446')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,253.8627719,x,1313,1101,213,0.1,x,-99.99,-99.99,-99,-99,34.7,-99.99,x,-99.99,-99,dSph,dSph,0.003673,0.06609,x,0,FALSE,FALSE,888,"856, 918",34,6.84E+12,21.4,Lya,salt,weak : ONLY 1 GALAXY
MRK876,939,NGC6140,2,"('243.48833333333334', '65.71972222222222')","('245.24233', '65.39056')",0.045560079,3.35E-19,64.56417617,17.34252,113.0831621,x,1035,910,-29,8.13,x,6.7,4.8,44,60,54.5,378.57,.SBS6P.,-99.99,95,SB(s)cd_pec,SB(s)cd_pec,0.003035,,x,1,TRUE,FALSE,939,"830, 1030",366pm4,1.01E14 pm 1.38E12,57.4pm 1.7,"Lya, d:Lya",pilot,center is 930 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
CSO395,966,UGC07207,11,"('182.81083333333333', '36.96111111111111')","('183.07819', '37.01481')",0.992784342,0.133626775,115.6793855,61.61506309,83.39865943,x,1324,1051,85,21.7,x,15.6,7.8,60,112,36.1,137.45,.I..9..,-99.99,-99,IB(s)m_V,IB(s)m_V,0.003506,0.169,x,2,FALSE,TRUE,966,"886, 984",194pm14,5.70E13 pm 5.91E12,30.6pm 6.6,"f:Lya, working",pilot,center is 935 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0439-5254,1005,NGC1705,4,"('70.05', '-52.805')","('73.55625', '-53.36106')",1.95E-20,0,29.94136874,3.263127334,193.8651608,x,510,633,-372,5.1,x,2.2,1.7,41,78,26.7,114.33,.LA.-P*,-99.99,50,SA0-_pec:;HII_BCDG,SA0-_pec:;HII_BCDG,0.002112,1.053,x,0,FALSE,FALSE,1005,"959, 1045",55,1.10E+13,31.2,Lya,salt,hard to fit cont : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,1012,NGC4565,23,"('189.01666666666665', '26.693333333333335')","('189.08658', '25.98767')",0.377020971,0.405663831,212.2655977,230.5588341,147.138747,x,1522,1230,218,11.9,x,37.6,12,71,134,40.9,950.94,.SAS3$/,-99.99,136,SA(s)b?_sp_Sy3_Sy1.9,SA(s)b?_sp_Sy3_Sy1.9,0.004103,,x,2,FALSE,TRUE,1012,"926, 1094",337pm32,9.62E13 pm 1.35E13,52.2pm 2.7,Lya,pilot,center is 1010 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
3C273.0,1013,NGC4517,15,"('187.27791666666667', '2.0525')","('188.18996', '0.11503')",0.034016588,0.047096457,207.5677868,219.6099816,362.5183125,x,1420,1128,115,9.7,x,36.4,5.8,81,83,71.8,628.28,.SAS6*/,-99.99,83,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.15834,x,1,TRUE,TRUE,1013,"910, 1116",382,1.36E+14,44.3,Lya,salt,in pilot paper
CSO395,1025,UGC07207,10,"('182.81083333333333', '36.96111111111111')","('183.07819', '37.01481')",1.169391097,0.157397689,115.6793855,61.61506309,83.39865943,x,1324,1051,26,21.7,x,15.6,7.8,60,112,36.1,137.45,.I..9..,-99.99,-99,IB(s)m_V,IB(s)m_V,0.003506,0.169,x,2,FALSE,TRUE,1025,"974, 1120",343pm15,1.21E14 pm 9.85E12,41.6pm 4.1,"f:Lya, working",pilot,center is 1047 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
MS1228.6+1219,1046,NGC4486,136,"('187.80458333333334', '12.051944444444445')","('187.70593', '12.39112')",0.385482661,0.397546929,210.31391,225.9752442,100.930135,x,1584,1284,238,16.4,x,37.1,31.9,31,153,11.1,499.06,.E+0+P.,-99.99,-99,E+0-1_pec;NLRG_Sy,E+0-1_pec;NLRG_Sy,0.004283,,x,3,FALSE,TRUE,1046,"994, 1108",167pm19,4.24E13 pm 5.94E12,33.6pm 3.1,Lya,pilot,center is 1051 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ112224.10+031802.0,1049,NGC3640,11,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",0.239719272,0.191772889,171.913919,145.7872868,129.9524732,x,1582,1298,249,22.7,x,27.7,22.2,37,100,21.6,238.86,.E.3...,-99.99,100,E3,E3,0.00433,0.47528,x,1,TRUE,TRUE,1049,"977, 1111",300,9.87E+13,42.4,Lya,salt,in pilot set
1H0419-577,1075,NGC1574,15,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.240659216,0.128540594,168.9044133,140.2961154,199.5270478,x,902,1041,-34,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,-99.99,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1075,"990, 1100",249,1.17E+14,28.2,Lya,salt,"blended with 1123, 1188 - errors are way too small?"
1H0419-577,1123,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.209386513,0.111837258,168.9044133,140.2961154,199.5270478,x,902,1041,-82,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,0.79,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1123,"1100, 1168",269,1.62E+14,26.8,Lya,salt,"blended with 1123, 1188 - errors are way too small?"
SDSSJ135726.27+043541.4,1124,NGC5364,21,"('209.35958333333332', '4.594722222222222')","('209.05', '5.01447')",0.699889074,0.686687237,195.6073016,193.0277286,164.5609252,x,1516,1241,117,18.1,x,33.4,19,55,48,84.3,405.65,.SAT4P.,-99.99,30,SA(rs)bc_pec_HII,SA(rs)bc_pec_HII,0.00414,1.23453,x,1,TRUE,TRUE,1124,"1088, 1160",83,1.87E+13,24.2,Lya,salt,blended
LBQS1230-0015,1127,NGC4517,13,"('188.26708333333335', '-0.5261111111111111')","('188.18996', '0.11503')",1.51544695,1.560957998,207.5677868,219.6099816,109.3257324,x,1420,1128,1,9.7,x,36.4,5.8,81,83,89.9,628.28,.SAS6*/,0.66,83,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.47095,x,1,TRUE,TRUE,1127,"1027, 1165",388,1.82E+14,42.9,Lya,salt,"in pilot paper, blended with 1163"
RX_J1117.6+5301,1131,NGC3631,11,"('169.41875000000002', '53.030833333333334')","('170.26198', '53.16957')",1.253426612,0.206993877,116.7006809,62.80375785,78.42781462,x,1378,1156,25,8.56,x,15.8,15.2,16,28,46.7,300.71,.SAS5..,0.98,-99,SA(s)c,SA(s)c,0.003856,,x,1,TRUE,TRUE,1131,"1050, 1216",356pm20,1.19E14 pm 1.14E13,44.6pm 2.4,Lya,pilot,center is 1133
HE0439-5254,1148,NGC1566,3,"('70.05', '-52.805')","('65.00175', '-54.93781')",4.67E-09,2.11E-27,114.1397948,59.84627808,456.7690963,x,1361,1504,356,7.15,x,15.3,10.5,46,170,65,499.06,.SXS4..,0.79,60,(R'_1)SAB(rs)bcSy1,(R'_1)SAB(rs)bcSy1,0.005017,1.053,x,0,FALSE,FALSE,1148,"1090, 1194",72,1.46E+13,42.5,Lya,salt,hard to fit cont : VIRIAL AND CUSTOM INCLUDE MISMATCH
LBQS1230-0015,1163,NGC4517,14,"('188.26708333333335', '-0.5261111111111111')","('188.18996', '0.11503')",1.469776593,1.513916095,207.5677868,219.6099816,109.3257324,x,1420,1128,-35,9.7,x,36.4,5.8,81,83,89.9,628.28,.SAS6*/,-99.99,83,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.47095,x,1,TRUE,TRUE,1163,"1164, 1226",100,2.75E+13,19.7,Lya,salt,"in pilot paper, blended with 1127"
HE0429-5343,1167,NGC1617,7,"('67.66666666666667', '-53.61555555555555')","('67.91471', '-54.60228')",0.059815905,0.004293386,146.1862209,102.4863845,233.2613451,x,926,1063,-104,13.4,x,21.9,10.3,62,107,64.5,255.95,.SBS1..,0.26,107,(R')SAB(rs)a,(R')SAB(rs)a,0.003546,0.04001,x,1,TRUE,FALSE,1167,"1124, 1200",79,1.71E+13,25.8,Lya,salt,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE1228+0131,1176,NGC4517,23,"('187.70833333333334', '1.256388888888889')","('188.18996', '0.11503')",0.340107782,0.758467777,207.5677868,219.6099816,209.7249045,x,1420,1128,-48,9.7,x,36.4,5.8,81,83,74.1,628.28,.SAS6*/,0.54,83,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.117,x,1,TRUE,TRUE,1176,"1157, 1205",9,1.75E+12,18.4,Lya,salt,"in pilot paper, very weak"
H1101-232,1182,NGC3513,6,"('165.90708333333333', '-23.491944444444446')","('165.942', '-23.2455')",1.684673648,1.4230178,147.1060956,103.893508,60.29112702,x,1419,1194,12,13.9,x,22.1,19.2,30,120,67.4,169.1,.SBT5..,0.83,75,SB(s)c_HII,SB(s)c_HII,0.003983,0.186,x,2,FALSE,FALSE,1182,"1038, 1286",635,2.79E+14,69.5,Lya,salt,r:Lya at 1203 : VIRIAL AND CUSTOM INCLUDE MISMATCH
1H0419-577,1188,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.14432344,0.077085852,168.9044133,140.2961154,199.5270478,x,902,1041,-147,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,0.79,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1188,"1168, 1252",240,8.79E+13,29.7,Lya,salt,blended with 1123 - errors are way too small?
RX_J1236.0+2641,1188,NGC4565,21,"('189.01666666666665', '26.693333333333335')","('189.08658', '25.98767')",1.183582118,1.273500663,212.2655977,230.5588341,147.138747,x,1522,1230,42,11.9,x,37.6,12,71,134,40.9,950.94,.SAS3$/,-99.99,136,SA(s)b?_sp_Sy3_Sy1.9,SA(s)b?_sp_Sy3_Sy1.9,0.004103,,x,1,TRUE,TRUE,1188,"1094, 1222",288pm24,9.02E13 pm 1.25E13,37.8pm 3.4,Lya,pilot,center is 1158
HE0241-3043,1221,NGC1097,9,"('40.90708333333333', '-30.513333333333332')","('41.57937', '-30.27489')",1.19601977,1.482920818,260.5336697,359.9364055,175.091031,x,1030,1271,50,16,x,50.6,27.8,57,145,77.4,559.95,.SBS3..,0.56,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,,x,1,TRUE,TRUE,1221,"1175, 1243",83pm12,1.90E13 pm 3.06E12,23.6pm 2.5,Lya,pilot,center is 1209
2dFGRS_S393Z082,1239,NGC1097,9,"('41.25333333333334', '-30.123055555555556')","('41.57937', '-30.27489')",1.732971136,1.832855366,260.5336697,359.9364055,89.38614647,x,1030,1271,32,16,x,50.6,27.8,57,145,26.7,559.95,.SBS3..,0.62,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,x,2,FALSE,TRUE,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,pilot,"center is 1242, original name = TGS393Z082 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1117.6+5301,1259,NGC3631,11,"('169.41875000000002', '53.030833333333334')","('170.26198', '53.16957')",0.976560173,0.161271489,116.7006809,62.80375785,78.42781462,x,1378,1156,-103,8.56,x,15.8,15.2,16,28,46.7,300.71,.SAS5..,0.83,-99,SA(s)c,SA(s)c,0.003856,,x,1,TRUE,TRUE,1259,"1218, 1298",57pm17,1.18E13 pm 3.87E12,25.4pm 4.6,Lya,pilot,center is 1258
1H0419-577,1264,NGC1574,12,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.071454215,0.038165034,168.9044133,140.2961154,199.5270478,x,902,1041,-223,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,0.79,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1264,"1252, 1358",91,2.02E+13,32.5,Lya,salt,blended with 1188 - errors are way too small?
SDSSJ112224.10+031802.0,1264,NGC3640,21,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",1.097284245,0.877815821,171.913919,145.7872868,129.9524732,x,1582,1298,34,22.7,x,27.7,22.2,37,100,21.6,238.86,.E.3...,-99.99,100,E3,E3,0.00433,0.47528,x,1,TRUE,TRUE,1264,"1180, 1360",433,1.56E+14,56.1,Lya,salt,in pilot set
IRAS_Z06229-6434,1279,UMaDwarf,1,"('95.78166666666667', '-64.60583333333334')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,220.2801523,x,1313,1101,-178,0.1,x,-99.99,-99.99,-99,-99,68.5,-99.99,x,-99.99,-99,dSph,dSph,0.003673,0.1289,x,0,FALSE,FALSE,1279,"1235, 1325",64pm7,1.31E13 pm 1.59E12,30.3pm 2.3,d:Lya,pilot,"center is 1280, only HIPASSJ0608-63 at 1554 km/s with b = 736 kpc : NO GALAXIES : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
MS1228.6+1219,1286,NGC4486,131,"('187.80458333333334', '12.051944444444445')","('187.70593', '12.39112')",1.588421787,1.638133869,210.31391,225.9752442,100.930135,x,1584,1284,-2,16.4,x,37.1,31.9,31,153,11.1,499.06,.E+0+P.,-99.99,-99,E+0-1_pec;NLRG_Sy,E+0-1_pec;NLRG_Sy,0.004283,,x,1,TRUE,TRUE,1286,"1191, 1365",522pm16,2.01E14 pm 1.51E13,57.3pm 1.4,Lya,pilot,center is 1278 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ135726.27+043541.4,1296,NGC5364,19,"('209.35958333333332', '4.594722222222222')","('209.05', '5.01447')",0.913717878,0.896482641,195.6073016,193.0277286,164.5609252,x,1516,1241,-55,18.1,x,33.4,19,55,48,84.3,405.65,.SAT4P.,-99.99,30,SA(rs)bc_pec_HII,SA(rs)bc_pec_HII,0.00414,1.23453,x,1,TRUE,TRUE,1296,"1264, 1324",92,2.23E+13,20.2,Lya,salt,
PG1001+054,1306,SDSSJ100724.06+051931.0,4,"('151.08375', '5.216666666666667')","('151.85025', '5.32531')",1.56E-57,0,30.87395074,3.488122704,350.1160273,x,1848,1603,297,26.02,x,2.3,1.6,47,81,0.9,-99.99,x,-99.99,-99,x,x,0.005347,,x,0,FALSE,FALSE,1306,"1258, 1374",67pm15,1.34E13 pm 3.27E12,45.1pm 2.5,Lya,pilot,center is 1316 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0241-3043,1310,NGC1097,7,"('40.90708333333333', '-30.513333333333332')","('41.57937', '-30.27489')",1.225653517,1.519663104,260.5336697,359.9364055,175.091031,x,1030,1271,-39,16,x,50.6,27.8,57,145,77.4,559.95,.SBS3..,0.56,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,,x,1,TRUE,TRUE,1310,"1254, 1376",184pm15,5.07E13 pm 4.98E12,32.7pm 3.1,Lya,pilot,center is 1315
PG1302-102,1313,UGCA330,8,"('196.3875', '-10.555555555555555')","('197.44792', '-10.32')",3.66E-06,1.34E-19,115.6793855,61.61506309,404.9233393,x,1481,1210,-103,21.7,x,15.6,15.6,0,-99,3.7,177.07,.SXS7*.,-99.99,-99,SAB(s)d:_Sy2,SAB(s)d:_Sy2,0.004037,0.2784,x,0,FALSE,FALSE,1313,"1238, 1404",332,1.25E+14,37.5,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J0714.5+7408,1339,UGC03739,2,"('108.65083333333334', '74.1361111111111')","('109.13343', '75.74151')",3.04E-25,0,63.89771317,16.955707,474.967935,x,1200,1120,-219,16.9,x,6.6,4.7,45,-99,76.3,58.63,.I..9*.,0.78,-99,Im:,Im:,0.003736,0.371,x,0,FALSE,FALSE,1339,"1322, 1374",24pm8,4.64E12 pm 1.66E12,18.7pm 2.7,done,pilot,"very weak, center is 1348 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE0429-5343,1358,NGC1617,7,"('67.66666666666667', '-53.61555555555555')","('67.91471', '-54.60228')",0.008899958,0.000638809,146.1862209,102.4863845,233.2613451,x,926,1063,-295,13.4,x,21.9,10.3,62,107,64.5,255.95,.SBS1..,0.74,107,(R')SAB(rs)a,(R')SAB(rs)a,0.003546,0.04001,x,0,FALSE,FALSE,1358,"1260, 1430",136,2.88E+13,57.8,Lya,salt,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J2043.1+0324,1402,UMaDwarf,1,"('310.77625', '3.4144444444444444')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,209.0938428,x,1313,1101,-301,0.1,x,-99.99,-99.99,-99,-99,26.8,-99.99,x,-99.99,-99,dSph,dSph,0.003673,,x,0,FALSE,FALSE,1402,"1379, 1421",30pm13,6.07E12 pm 2.80E12,16.2pm 2.5,Lya,pilot,"center is 1400, very weak : ONLY 1 GALAXY : ONLY 1 GALAXY"
SDSSJ080838.80+051440.0,1448,UMaDwarf,1,"('122.16166666666668', '5.2444444444444445')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,97.00121149,x,1313,1101,-347,0.1,x,-99.99,-99.99,-99,-99,43.1,-99.99,x,-99.99,-99,dSph,dSph,0.003673,0.361,x,0,FALSE,FALSE,1448,"1410, 1488",103pm25,2.37E13 pm 6.83E12,27.5pm 3.5,done,pilot,center is 1449 : NO GALAXIES : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
RX_J1121.2+0326,1471,NGC3640,25,"('170.30833333333334', '3.4297222222222223')","('170.27854', '3.23483')",0.769889264,0.710257578,171.913919,145.7872868,78.10849225,x,1582,1298,-173,22.7,x,27.7,22.2,37,100,88.7,238.86,.E.3...,1,100,E3,E3,0.00433,0.152,x,1,TRUE,TRUE,1471,"1440, 1498",234,5.03E+13,24.6,Lya,salt,noisy
HE1228+0131,1495,NGC4517,30,"('187.70833333333334', '1.256388888888889')","('188.18996', '0.11503')",0.012424093,0.027706729,207.5677868,219.6099816,209.7249045,x,1420,1128,-367,9.7,x,36.4,5.8,81,83,74.1,628.28,.SAS6*/,0.36,83,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.117,x,3,FALSE,TRUE,1495,"1426, 1558",160,3.99E+13,33.6,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0435-5304,1512,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.040903935,2.40E-05,109.9876496,55.21435502,174.1708872,x,1545,1678,166,23.9,x,14.5,3.3,77,28,66.5,116.99,.S?....,0.74,28,S?,S?,0.005597,0.42616,x,1,TRUE,FALSE,1512,"1450, 1570",220,5.91E+13,37.9,Lya,salt,blended with 1633 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ140428.30+335342.0,1521,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.549,x,0,FALSE,FALSE,1521,"1470, 1582",162pm23,4.21E13 pm 7.11E12,30.2pm 3.5,working,pilot,center is 1526 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
HE1228+0131,1571,NGC4527,25,"('187.70833333333334', '1.256388888888889')","('188.53509', '2.65366')",0.007265656,0.003996867,187.0361666,175.1122411,385.3113758,x,2031,1736,165,13.6,x,31.3,10.7,70,70,39.4,369.96,.SXS4..,0.36,67,SAB(s)bc;HII_LINER,SAB(s)bc;HII_LINER,0.005791,0.117,x,0,FALSE,FALSE,1571,"1558, 1602",23,4.57E+12,17.9,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
